RANK NEW,WORD,IPA,ENGLISH,FREQUENCY,DP RANK,EXAMPLE SENTENCE,,,,,,,,,,RANK NEW
16,ขึ้น,kʰɯ̂n,increase; up,137092,95,ตอนนี้ชะตาของเขากำลังขึ้น ทำอะไรก็รวยไปหมด,,,,,,,,,,16
17,ด้วย,dûaj,with; also,138886,95,หัวหน้าไปกินข้าวด้วยกับลูกน้องทุกครั้ง,,,,,,,,,,17
18,จาก,tɕàːk,from,164860,94,ทางแถบชายฝั่งทะเลภาคตะวันออกจะเห็นจากขึ้นอยู่ทั่วไป,,,,,,,,,,18
19,การ,kaːn,the process of; work; job,553740,78,คนที่ประสบความสำเร็จในงานนั้นเป็นคนที่ขยันทำการทุกอย่างด้วยตนเอง,,,,,,,,,,19
20,ไป,paj,go,340176,87,เขาไปกรุงโรม,,,,,,,,,,20
21,มา,maː,come,304930,87,เขามาตั้งแต่เมื่อตอนเช้ามืดแล้ว,,,,,,,,,,21
22,ถึง,tʰɯ̌ŋ,reach; arrive at,84001,96,ถึงพ่อจะใจดีแค่ไหน ท่านก็คงจะไม่อนุญาตให้เราไปเที่ยวกลางคืน,,,,,,,,,,22
23,กว่า,kwàː,than,68702,97,คนน้องสูงกว่าคนพี่มาก,,,,,,,,,,23
24,ทั้ง,tʰáŋ,all; both,63432,97,เด็กๆ ดีใจกันทั้งโรงเรียน,,,,,,,,,,24
25,เมื่อ,mɯ̂ːa,when,86428,96,เมื่อระดับน้ำสูงท่วมรากพืชมันก็จะเริ่มเน่าเพราะรากแช่น้ำ,,,,,,,,,,25
26,คน,kʰon,person,214854,89,ในสมัยก่อนคนยังอาศัยอยู่ในถ้ำ และใช้อาวุธง่ายๆ ในการล่าสัตว์,,,,,,,,,,26
27,แต่,tɛ̀ː,but,163697,92,คราวใดที่แม่สั่งให้ซื้อผลไม้ แม่ต้องกำชับว่าให้เลือกแต่ลูกโตๆ,,,,,,,,,,27
28,อยู่,jùː,located; present; exists,178376,90,สายตาทุกคู่หันมาจับจ้องเขามีแววสงสัยเหมือนอย่างอยากรู้เรื่องที่เขากำลังพูดอยู่,,,,,,,,,,28
29,ก็,kɔ̂ː,then,292116,84,ญี่ปุ่นก็เป็นอีกชาติหนึ่งที่กำลังทุ่มเททางด้านคอมพิวเตอร์เป็นอย่างมาก,,,,,,,,,,29
30,เรื่อง,rɯ̂ːaŋ,subject; story,99807,94,ความเจ็บปวดในเรื่องความหิวกระหาย เป็นเรื่องที่ทำให้คนแสดงพฤติกรรมที่เข้าหา,,,,,,,,,,30
31,อย่าง,jàːŋ,type; like,150715,91,โครงสร้างของสะพานรถไฟบางอย่างออกแบบไว้สำหรับการบรรทุกน้ำมันเครื่องเคมีที่เป็นของเหลวแ,,,,,,,,,,31
32,ความ,kʰwaːm,matter; affair; subject,219348,86,คดีที่เป็นตัวอย่างการพิจารณาความอาญาเก็บไว้ในห้องสมุด,,,,,,,,,,32
33,นั้น,nán,that,128963,91,การนำเสนอของเราวันนี้น่าจะทำได้ดีกว่านั้น,,,,,,,,,,33
34,มาก,mâːk,much,106955,92,สัตว์และมนุษย์ไม่มีอะไรแตกต่างกันมาก,,,,,,,,,,34
35,แล้ว,lɛ́ːw,already,187222,84,กลุ่มผู้ชุมนุมได้ทำการปิดถนนบางนา-ตราดทั้งหมดแล้ว,,,,,,,,,,35
36,ถูก,tʰùːk,cheap,52748,95,มือของผมบังเอิญไปถูกเขา แค่นี้เขาก็หันมาจ้องหน้าผม,,,,,,,,,,36
37,ไว้,wáj,to put in place; trust; to preserve,67347,94,เจ้าหน้าที่ตำรวจได้ตั้งข้อหาผู้ต้องหาว่าฆ่าผู้อื่นตายโดยไตร่ตรองไว้ก่อน,,,,,,,,,,37
38,หรือ,rɯ̌ː,or,174937,82,ในช่วงเวลาตั้งแต่พุทธศตวรรษที่ 16 ลงมาเมืองละโว้ หรือลพบุรีเป็นนครใหญ่ ที่มีความรุ่งเรืองกว่าบรรดาเมืองอื่นๆ,,,,,,,,,,38
39,เพราะ,pʰrɔ́ʔ,because,82143,91,รัฐบาลตัดสินใจสลายการชุมนุมอย่างรวดเร็ว เพราะหากปล่อยให้ยืดเยื้อย่อมกระทบต่อการลงทุนของต่างชาติ,,,,,,,,,,39
40,เวลา,weː laː,time,58344,94,การวิจารณ์ไม่ว่าจะใช้ในเวลาใดก็ตามต้องมีลักษณะสร้างสรรค์มิใช่ทำลาย,,,,,,,,,,40
41,ยัง,jaŋ,still,97677,89,สุนัขเป็นเพื่อนที่ซื่อสัตย์ใกล้ชิดกับคนแถมยังมีประโยชน์เฝ้าบ้านได้เวลาไม่มีใครอยู่,,,,,,,,,,41
42,ทำ,tʰam,do,90593,90,ประชาชนทุกคนมีหน้าที่ทำตามกฎหมาย,,,,,,,,,,42
43,เห็น,hěn,see,75623,92,เขาได้เห็นชีวิตมาทุกแง่ทุกมุมแล้ว,,,,,,,,,,43
44,เข้า,kʰâw,enter,84805,90,รถประจำทางจะเข้ามาที่สถานีตรงเวลาทุกวัน,,,,,,,,,,44
45,ชั้น,tɕʰán,layer; level; grade,15157,98,ศาลชั้นต้นได้พิจารณาคดีแล้วเมื่อเช้านี้,,,,,,,,,,45
46,ซึ่ง,sɯ̂ŋ,which,113751,85,เราต้องการหนังสือซึ่งใช้อ้างอิงได้,,,,,,,,,,46
47,ลง,loŋ,down,59216,92,ในเช้าวันรุ่งขึ้นก่อนที่เขาจะกลับบ้าน หมอกลงหนาทึบจนมองไม่เห็นแม่น้ำ,,,,,,,,,,47
48,ถ้า,tʰâː,if,61606,91,ถ้าฉันเป็นมหาเศรษฐี ฉันจะไปเที่ยวรอบโลกทุกปี,,,,,,,,,,48
49,ตัว,tuːa,body,67503,90,ตัวจะไปเที่ยวกับพวกเราไหม,,,,,,,,,,49
50,ใช้,tɕʰáj,use,103796,84,ยานยนต์ทุกชนิดจำเป็นต้องใช้เชื้อเพลิง,,,,,,,,,,50
51,ตาม,taːm,follow; acccording,108771,83,ตำรวจตามคนร้ายไปยังป่าทึบ,,,,,,,,,,51
52,บาง,baːŋ,some; thin,40547,93,แต่ก่อนต้องพายเรือจากบางหนึ่งไปบางหนึ่ง ใช้เวลาเป็นวันเลยทีเดียว,,,,,,,,,,52
53,อีก,ʔìːk,more,87078,86,คุณควรถอยฉากออกไปตั้งหลัก คิดหาแนวทางใหม่ ก่อนจะกลับมาอีกครั้งพร้อมกับความสำเร็จ,,,,,,,,,,53
54,ทำให้,tʰam hâj,make,69683,88,การตากฝนทำให้เป็นหวัดได้,,,,,,,,,,54
55,ทาง,tʰaːŋ,way; direction,98834,83,หากเขายังเกียจคร้านอยู่อย่างนี้ เขาไม่มีทางจะสำเร็จได้,,,,,,,,,,55
56,แบบ,bɛ̀ːp,model; style,53240,91,การคลอดแบบโบราณนั้นทำกันที่บ้าน ทำในห้องต่อหน้าสามี,,,,,,,,,,56
57,ออก,ʔɔ̀ːk,exit,79732,86,รัฐบาลออกบัตรประชาชนให้ประชาชนทุกคน,,,,,,,,,,57
58,ที่สุด,tʰîː sùt,most,29122,95,รัฐมนตรีคลังเป็นผู้ทรงอิทธิพลมากที่สุดในคณะรัฐมนตรีชุดนี้,,,,,,,,,,58
59,เรา,raw,we; us,96905,83,เราคิดว่าอาจารย์ไม่น่าจะว่างนะ,,,,,,,,,,59
60,โดย,doːj,by,103919,82,เขาทำไป โดยรู้เท่าไม่ถึงการณ์,,,,,,,,,,60
61,ดี,diː,good,82144,85,คนป่วยมีสุขภาพดีขึ้นหลังจากได้พักเป็นระยะเวลานาน,,,,,,,,,,61
62,เพื่อ,pʰɯ̂ːa,for,87377,84,ผู้ควบคุมจำเป็นต้องปิดเครือข่าย และสถานีงานทั้งหมด เพื่อทำให้ระบบกลับคืนสู่สภาพปกติ,,,,,,,,,,62
63,จึง,tɕɯŋ,therefore,71254,87,เมื่อทำงานเสร็จ พนักงานจึงกลับบ้าน,,,,,,,,,,63
64,ต่อ,tɔ̀ː,to; connector; per,62988,87,พ่อกับลูกช่วยกันต่อกรงสุนัขใหม่ให้ใหญ่ขึ้น,,,,,,,,,,64
65,ครั้ง,kʰráŋ,time,46658,90,เรามาดูภาพยนต์ที่นี่เป็นครั้งที่ 5 แล้ว,,,,,,,,,,65
66,เขา,kʰǎw,he,139886,69,ที่บ้านสวนพ่อจะเลี้ยงนกเขาไว้ดูเล่นแก้เหงา,,,,,,,,,,66
67,หลาย,lǎːj,many,36281,92,ในปีนี้จะมีการประชุมระหว่างประเทศที่กรุงเทพฯ หลายครั้ง,,,,,,,,,,67
68,ผู้,pʰûː,person,115882,74,เขาจะไม่ปล่อยให้ผู้กระทำผิดลอยนวลไปได้แน่นอน,,,,,,,,,,68
69,ทุก,tʰúk,each,52527,88,ประชาชนทุกคนควรไปเลือกตั้ง,,,,,,,,,,69
70,น้อย,nɔ́ːj,little,28350,94,เขาหยิบเนื้ออันน้อยส่งให้เด็กชายที่ยืนอยู่ข้างโต๊ะ,,,,,,,,,,70
71,คือ,kʰɯː,is,74385,83,ผู้จัดการฝ่ายการตลาดคือผู้ที่ได้รับคัดเลือกให้เป็นพนักงานดีเด่น,,,,,,,,,,71
72,หาก,hàːk,if,26645,94,แม้ประเทศจะมีถนนดีๆ หากคนใช้ไม่มีคุณภาพ บ้านเมืองจะพัฒนาได้ยาก,,,,,,,,,,72
73,เกิด,kɤ̀ːt,born,74608,82,แผ่นดิสก์ยังคงหมุนอยู่ด้วยแรงเฉื่อยซึ่งก็ยังเร็วพอที่จะเกิดแรงยกตัวสำหรับหัวอ่าน,,,,,,,,,,73
74,ปี,piː,year,66965,83,เครือข่ายคอมพิวเตอร์เป็นสิ่งใหม่เริ่มมีใช้ครั้งแรกในปี 1969,,,,,,,,,,74
75,งาน,ŋaːn,work; festival,43976,89,เย็นนี้จะมีงานแต่งงานที่โรงแรมรีเจนท์ อย่าพยายามไปแถวนั้นเด็ดขาดรถติดแน่นอน,,,,,,,,,,75
76,ใหม่,màj,new,35961,91,บ้านนี้เพิ่งทาสีใหม่ๆ,,,,,,,,,,76
77,ตั้ง,tâŋ,set,20320,95,นักกีฬาที่ได้เหรียญทองจากซีเกมส์จะได้รับเงินรางวัลตั้งหนึ่งแสนบาท,,,,,,,,,,77
78,ส่วน,sùːan,section,55947,85,อาหารจานแค่นี้ ใส่น้ำตาลแค่เศษหนึ่งส่วนสี่ช้อนก็พอ,,,,,,,,,,78
79,รับ,ráp,receive,36786,90,เขารับองค์พระจากหลวงพี่ที่ปลุกเสกแล้วอย่างระมัดระวัง,,,,,,,,,,79
80,แรก,rɛ̂ːk,first,24834,93,นักท่องเที่ยวบางคนเพิ่งเคยมาเที่ยวภูเก็ตครั้งแรก จึงรู้สึกตื่นเต้นกับความสวยงามของทัศนียภาพ,,,,,,,,,,80
81,พระ,pʰráʔ,monk,38020,89,เมื่อเราไปวัด เรามักจะพบว่าในโบสถ์จะมีพระพุทธรูปขนาดใหญ่เป็นพระประทาน 1 องค์,,,,,,,,,,81
82,ทำงาน,tʰam ŋaːn,work,30160,91,เขาทำงานรักษาคนที่มีอาการผิดปกติทางจิต,,,,,,,,,,82
83,วัน,wan,day,52803,85,ผู้นำฝ่ายค้านคาดว่าแต่ละวันแต่นี้ไปสถานการณ์จะรุนแรงกว่านี้,,,,,,,,,,83
84,ช่วย,tɕʰûaj,help,31273,91,หากทุกคนในหมู่บ้านช่วยกัน ก็คงจะสำเร็จในไม่ช้านี้,,,,,,,,,,84
85,เพียง,pʰiːaŋ,only,23326,93,ร่างกายต้องการสังกะสีจากอาหารเพียงวันละ 10-15 มิลลิกรัม,,,,,,,,,,85
86,อาจ,ʔàːt,may,54729,83,พิษในน้ำมันละหุ่งนั้นอาจแยกออกได้,,,,,,,,,,86
87,ขนาด,kʰà nàːt,size,18836,94,การออกแบบวงจรไฟฟ้าขนาดจิ๋ว ช่วยประหยัดต้นทุนได้มาก,,,,,,,,,,87
88,อื่น,ʔɯ̀ːn,another,48750,85,ตำรวจให้ความเห็นว่าสาเหตุของคดีนี้น่าจะเป็นการชิงทรัพย์มากกว่าประเด็นอื่น,,,,,,,,,,88
89,นัก,nák,very; extremely,24054,92,ช่วงฤดูหนาวที่เชียงใหม่จะมีอากาศหนาวนัก,,,,,,,,,,89
90,เริ่ม,rɤ̂ːm,begin,22910,93,โครงการวิจัยของสำนักงานวิจัยเริ่มใหม่ในปี 2544,,,,,,,,,,90
91,เด็ก,dèk,child,39122,87,เขาบอกว่าลูกชายเป็นเด็กดี ไม่รู้เหมือนกันว่ามาเกี่ยวข้องกับคดีนี้ได้อย่างไร,,,,,,,,,,91
92,ชีวิต,tɕʰiː wít,life,37677,87,ชีวิตของคนกรุงเทพฯ ต้องดิ้นรนต่อสู้กับมลพิษที่เพิ่มปริมาณขึ้นทุกวัน,,,,,,,,,,92
93,สูง,sǔːŋ,high,26744,91,นักวิจัยพบว่า บุคคลที่มีความวิตกกังวลสูง จะมีความคิดริเริ่มสร้างสรรค์ต่ำ,,,,,,,,,,93
94,ก่อน,kɔ̀ːn,before,50679,83,รูปนี้เขาไม่เคยเห็นมาก่อนเลย,,,,,,,,,,94
95,เปลี่ยน,plìːan,change,14888,95,ร่างกายจะเปลี่ยนโปรตีนส่วนเกินให้เป็นไขมัน,,,,,,,,,,95
96,ต่าง,tàːŋ,different,56567,80,เขาบรรทุกของลงต่างบนหลังวัว เตรียมออกเดินทาง,,,,,,,,,,96
97,ต่อไป,tɔ̀ː paj,next,20147,93,หากบุคคลได้รับการตองสนองความรักแล้วสิ่งที่เขาต้องการต่อไปก็คือการได้รับการยกย่องมีชื่อเสียง,,,,,,,,,,97
98,ดู,duː,look at; examine,49431,83,กลับมาบ้านคราวนี้ ลูกดูมีน้ำเนื้อมีหนังมากขึ้น,,,,,,,,,,98
99,แห่ง,hɛ̀ŋ,location; place; spot,41276,85,พื้นที่ป่าแห่งนี้มีวัตถุประสงค์มุ่งที่จะจัดทำให้เป็นที่อยู่อาศัยของสัตว์ป่าโดยตรง,,,,,,,,,,99
100,ใหญ่,jàj,large,29959,89,บ้านใหม่ของเขาใหญ่มาก ใช้งบในการสร้างเกือบสิบล้าน,,,,,,,,,,100
101,หา,hǎː,find,34684,87,หนุ่มน้อยหาเศษสตางค์ในกระเป๋าแล้วหยิบยื่นให้ตาแป๊ะ,,,,,,,,,,101
102,สำหรับ,sǎm ràp,for,31821,88,คณะครุศาสตร์มีห้องปฏิบัติการทางจิตวิทยาที่เหมาะมากสำหรับการสอนวิชาจิตวิทยา,,,,,,,,,,102
103,ผม,pʰǒm,I (mostly male); hair (on head),88516,67,ผมกระหายน้ำมาก,,,,,,,,,,103
104,กลาง,klaːŋ,middle; center,11633,96,ฉันคิดว่าจะไปศึกษาต่อในช่วงกลางปีหน้า,,,,,,,,,,104
105,ก็ได้,kɔ̂ː dâj,it is alright to,19548,92,ถ้าเธอจะตามฉันไปก็ได้,,,,,,,,,,105
106,ด้าน,dâːn,side,38862,85,สามเหลี่ยมด้านเท่ามีทุกด้านยาวเท่ากัน,,,,,,,,,,106
107,คุณ,kʰun,you,66391,74,เขาลืมสิ้นถึงคุณของข้าวแดงแกงร้อนจากชายคาบ้านที่เขาเคยอาศัยอยู่,,,,,,,,,,107
108,นอก,nɔ̂ːk,out,10066,96,พ่ออยู่นอกบ้านต้องตะโกนเรียกถึงจะได้ยิน,,,,,,,,,,108
109,เดียว,diːaw,single; one,25216,90,มีนักบินเพียงคนเดียวที่รอดชีวิต,,,,,,,,,,109
110,เมือง,mɯːaŋ,city,27902,89,ทิวทัศน์ของเมืองนี้สวยงามมีมนต์ขลัง น่าหลงใหลมากทีเดียว,,,,,,,,,,110
111,สิ่ง,sìŋ,thing,37629,85,ในภาคใต้นี้เงินมีส่วนสำคัญเพราะข้าวปลาอาหารเป็นสิ่งที่ต้องซื้อหาทั้งสิ้นไม่สามารถปลูกได้พอกินเช่นภาคอื่นๆ,,,,,,,,,,111
112,ทรง,soŋ,"style, hairdo",20369,92,เฮลิคอปเตอร์ทรงตัวอยู่ในอากาศได้โดยอาศัยแรงยกจากปีกทั้งสองข้าง,,,,,,,,,,112
113,ตัด,tàt,cut,7149,97,เธอตัดเสื้อผ้าชุดนี้ด้วยฝีมือเธอเอง,,,,,,,,,,113
114,นำ,nam,lead,42989,82,เราต้องนำคำนี้ไปวางไว้หน้าประโยคเพื่อต้องการเน้นความ,,,,,,,,,,114
115,ผิด,pʰìt,wrong,18018,92,หากผมทำผิดจริงผมก็จะยอมให้บริษัทตัดเงินเดือน,,,,,,,,,,115
116,เสีย,sǐːa,waste,28577,88,กินเสีย จะได้รีบไป,,,,,,,,,,116
117,เอา,ʔaw,take; want,46620,80,ถึงตอนนี้เราต้องยักย้ายถ่ายเทเพื่อเอาตัวรอดแล้ว,,,,,,,,,,117
118,จน,tɕon,until,39835,83,กายกับจิตมีความสัมพันธ์กันอย่างใกล้ชิดจนไม่อาจแยกออกเป็นอิสระจากกันได้,,,,,,,,,,118
119,คิด,kʰít,think,39007,83,นักภูมิศาสตร์จากบริษัทสำรวจทางอากาศคิดว่าการใช้คอมพิวเตอร์จะช่วยให้งานนี้สำเร็จได้เร็วขึ้นและประหยัด,,,,,,,,,,119
120,เลย,lɤːj,therefore; …at all,64575,72,รถเมล์เลยป้ายไปตั้งไกลจนผู้โดยสารต้องเดินกลับมาเอง,,,,,,,,,,120
121,เท่านั้น,tʰâw nán,only,18886,92,มีเพียงเขาเท่านั้นที่ใส่ชุดสุภาพมางานนี้,,,,,,,,,,121
122,นับ,náp,count,8615,96,สุเทพไม่นับว่าสุชาติเป็นญาติเพราะเขาทำตัวไม่ดี,,,,,,,,,,122
123,ผ่าน,pʰàːn,pass,20717,91,กระเป๋าใบนี้ผ่านมือมาหลายคนแล้ว,,,,,,,,,,123
124,ตอน,tɔːn,when; during,20468,91,หนังสือเล่มนี้แบ่งออกเป็น 2 ตอน ตอนแรกเป็นภาษาไทย ตอนที่สองเป็นภาษาอังกฤษ,,,,,,,,,,124
125,ตั้งแต่,tâŋ tɛ̀ː,since,20540,91,ครอบครัวของเขาไปอยู่ต่างประเทศตั้งแต่เขาอายุ 7 ปี,,,,,,,,,,125
126,เรียก,rîːak,call,17716,92,ผมเรียกจนแสบคอ เธอก็ยังไม่หันมา,,,,,,,,,,126
127,สามารถ,sǎː mâːt,be able,40879,82,เขาสามารถรักษาแชมป์ไว้ได้ 4 สมัย เป็นประวัติการณ์,,,,,,,,,,127
128,ชื่อ,tɕʰɯ̂ː,name,18750,92,ชื่อของหล่อนแปลว่าดอกไม้,,,,,,,,,,128
129,เอง,ʔeːŋ,only; alone; just,30032,86,พ่อแม่มักจะไม่ค่อยปล่อยให้ลูกๆ อยู่บ้านกันเองตามลำพัง,,,,,,,,,,129
130,ประเทศ,pràʔ tʰêːt,country,54449,75,เธอยอมเดินทางกลับประเทศเพื่อสู้คดีต่างๆ,,,,,,,,,,130
131,ภาพ,pʰâːp,image,21926,90,ความคิดคือความสามารถของมนุษย์ที่จะวาดภาพถึงอะไรๆ ได้ โดยไม่ต้องมีวัตถุจริงๆ มาปรากฏ,,,,,,,,,,131
132,นอกจาก,nɔ̂ːk tɕàːk,in addition to,9715,96,วินัยคงจะไม่สูงกว่านี้อีกแล้วนอกจากจะมีปาฏิหาริย์,,,,,,,,,,132
133,อ่าน,ʔàːn,read,16591,92,ในอนาคต เราคงจะมีโอกาสได้เห็นหุ่นยนต์ที่พูด อ่าน เขียนและคิด ได้เฉกเช่นมนุษย์,,,,,,,,,,133
134,เคย,kʰɤːj,ever,36647,83,เขาเคยไปมาแล้วทุกแห่งหนในประเทศไทย,,,,,,,,,,134
135,อะไร,ʔàʔ raj,what,60871,71,ปัจจุบันนี้ในกระทรวงศึกษาธิการ  อะไรก็สามารถเกิดขึ้นได้ทั้งนั้น,,,,,,,,,,135
136,กลับ,klàp,return,42379,80,เมื่องานเลี้ยงเลิกต่างก็แยกย้ายกันกลับบ้าน,,,,,,,,,,136
137,ขอ,kʰɔ̌ː,ask,30766,85,เขาค่อยๆ เคลื่อนตัวลงสู่ผิวน้ำพร้อมกับมือซ้ายถือขอแน่น,,,,,,,,,,137
138,โลก,lôːk,world,30774,85,ชาวกรีกโบราณเชื่อว่าโลกที่เราอยู่ประกอบด้วยธาตุทั้ง 4 คือ ดิน น้ำ ลม ไฟ,,,,,,,,,,138
139,เดิม,dɤːm,original; before,13893,93,แต่เดิมเราผลิตสินค้าได้น้อยมาก เพราะยังไม่มีเทคโนโลยีรองรับเพียงพอ,,,,,,,,,,139
140,ได้รับ,dâj ráp,receive,39689,81,เขาได้รับเงินรางวัลจำนวนมากมาย,,,,,,repeat,,,,140
141,น้ำ,náːm,water,32937,84,พวกเราก่อกองไฟอยู่ตรงริมน้ำ แล้วกางเต็นท์ห่างออกไปประมาณ 2 เมตร,,,,,,,,,,141
142,อย่างไร,jàːŋ raj,how,16555,92,ความงามความดีมนุษย์ สร้างขึ้นมาได้อย่างไร,,,,,,,,,,142
143,ยิ่ง,jîŋ,more,20860,90,การถ่ายทอดอารมณ์ให้กับภาพนั้นเป็นสิ่งสำคัญยิ่ง,,,,,,,,,,143
144,ฝ่าย,fàːj,party; side,23633,88,การทำให้เครื่องใหม่ครอบคลุมรุ่นเก่านั้น มีประโยชน์ด้วยกันทุกฝ่าย,,,,,,,,,,144
145,บ้าน,bâːn,home,36957,81,ประชากรไทยที่มีคอมพิวเตอร์ใช้ในบ้านเพิ่มจำนวนมากขึ้นทุกๆ วัน,,,,,,,,,,145
146,คำ,kʰam,word,33546,83,เสียงของแต่ละคนนั้นพูดแต่ละครั้งจะไม่เหมือนกัน แม้จะพูดคำเดียวกันหรือประโยคเดียวกันก็ตาม,,,,,,,,,,146
147,พบ,pʰóp,meet; find,28641,85,นักเรียนใหม่พบอาจารย์ที่ปรึกษาในวันเปิดภาคเรียน,,,,,,,,,,147
148,เข้าใจ,kʰâw tɕaj,understand,20416,90,ถ้าเธอเข้าใจเธอก็สามารถทำข้อสอบได้ ไม่ว่าจะออกมาในรูปแบบไหน,,,,,,,,,,148
149,อัน,ʔan,piece (classifier),29808,84,ปัญหานี้เป็นปัญหาที่สำคัญที่สุดอันหนึ่งในการออกแบบโปรแกรม,,,,,,,,,,149
150,ส่ง,sòŋ,send,24610,87,สถาปนิกกลุ่มนี้ส่งแบบแปลนถึงกันและกันผ่านทางสายโทรศัพท์,,,,,,,,,,150
151,ที่อยู่,tʰîː jùː,address,11742,94,ผู้ที่จะรับ-ส่งจดหมายอิเล็กทรอนิกส์ได้จะต้องมีที่อยู่หรือที่เรียกว่า e-mail address เสียก่อน,,,,,,,,,,151
152,มัน,man,it,64569,66,บ้านฉันที่อิสานปลูกมันไว้เป็นแถวๆ เอาหัวมันมาปรุงอาหารได้,,,,,,,,,,152
153,ถือ,tʰɯ̌ː,hold,13557,93,ทั้งๆ ที่หล่อนถือของพะรุงพะรัง แต่ก็ไม่มีใครมีน้ำใจที่จะช่วยหล่อน,,,,,,,,,,153
154,แม้,mɛ́ː,even,14220,92,แม้เรื่องของป่าไม้ที่ดินจะไม่ใช่ปัญหาใหญ่แต่ก็มีการลุกลามในหลายพื้นที่,,,,,,,,,,154
155,ควร,kʰuːan,should,28261,85,นักศึกษาควรใช้เวลาว่างจากการเรียนให้เป็นประโยชน์,,,,,,,,,,155
156,กำลัง,kam laŋ,power,31678,83,ลำต้นไม้ต้นหนึ่งมีกำลังสิบอ้อมแขน,,,,,,,,,,156
157,ปัญหา,pan hǎː,problem,35254,81,เมื่อดิสเกตต์มีปัญหาจะมีใครที่ช่วยแก้ปัญหาให้เราได้บ้าง,,,,,,,,,,157
158,ยก,jók,lift; raise,10982,94,เมื่อต้องการแสดงความคิดเห็นทุกคนต้องยกมือ,,,,,,,,,,158
159,น่า,nâː,ought to,28295,84,พิธีกรน่าพูดให้เกียรติแขกรับเชิญมากกว่านี้,,,,,,,,,,159
160,ต้น,tôn,beginning,10616,94,ต้นไม้ต้นใดที่มีต้นแข็งแรงก็สามารถจะนำมาต่อกิ่งได้,,,,,,,,,,160
161,รู้,rúː,know,47287,74,เดี๋ยวนี้เรารู้แล้วว่าความเชื่อเช่นนั้นไร้สาระ,,,,,,,,,,161
162,เหมือน,mɯ̌ːan,as; like,38746,78,อุตสาหกรรมของสหรัฐอเมริกากำลังถูกบีบจากต่างชาติ เหมือนลูกนกในกำมือ,,,,,,,,,,162
163,เท่า,tʰâw,as much as; times (size),10890,94,อำนาจของโลกคอมมิวนิสต์ก็เกือบจะเท่ากับอำนาจของโลกฝ่ายตะวันตก,,,,,,,,,,163
164,บน,bon,on,28635,83,นักเรียนมักมาบนพระพรหมเอราวัณไว้ว่าขอให้สอบเข้ามหาวิทยาลัยได้,,,,,,,,,,164
165,พยายาม,pʰá jaː jaːm,attempt,14676,91,เด็กอาจแสดงพฤติกรรมหลายอย่างเพื่อพยายามเรียกร้องความเอาใจใส่และความรักจากพ่อแม่,,,,,,,,,,165
166,จริง,tɕiŋ,real,30962,82,ภาพยนตร์เรื่องนี้วิเศษจริง แต่มันทำให้ชาวบ้านเข้าใจผิดคิดว่าคอมพิวเตอร์ทำได้ทุกสิ่งทุกอย่าง,,,,,,,,,,166
167,สร้าง,sâːŋ,create,30586,82,ฮาร์ดดิสก์ดิสก์ประเภทนี้สร้างความปั่นป่วนให้แก่วงการคอมพิวเตอร์เป็นอย่างมาก,,,,,,,,,,167
