Thai,English,Romanization,ipa,Exemple sentence
อย่าง,type; like,yang,jàːŋ,โครงสร้างของสะพานรถไฟบางอย่างออกแบบไว้สำหรับการบรรทุกน้ำมันเครื่องเคมีที่เป็นของเหลวแ
ความ,matter; affair; subject,khwam,kʰwaːm,คดีที่เป็นตัวอย่างการพิจารณาความอาญาเก็บไว้ในห้องสมุด
นั้น,that,nan,nán,การนำเสนอของเราวันนี้น่าจะทำได้ดีกว่านั้น
มาก,much,mak,mâːk,สัตว์และมนุษย์ไม่มีอะไรแตกต่างกันมาก
แล้ว,already,laeo,lɛ́ːw,กลุ่มผู้ชุมนุมได้ทำการปิดถนนบางนา-ตราดทั้งหมดแล้ว
ถูก,cheap,thuk,tʰùːk,มือของผมบังเอิญไปถูกเขา แค่นี้เขาก็หันมาจ้องหน้าผม
ไว้,to put in place; trust; to preserve,wai,wáj,เจ้าหน้าที่ตำรวจได้ตั้งข้อหาผู้ต้องหาว่าฆ่าผู้อื่นตายโดยไตร่ตรองไว้ก่อน
หรือ,or,rue,rɯ̌ː,ในช่วงเวลาตั้งแต่พุทธศตวรรษที่ 16 ลงมาเมืองละโว้ หรือลพบุรีเป็นนครใหญ่ ที่มีความรุ่งเรืองกว่าบรรดาเมืองอื่นๆ
เพราะ,because,phro,pʰrɔ́ʔ,รัฐบาลตัดสินใจสลายการชุมนุมอย่างรวดเร็ว เพราะหากปล่อยให้ยืดเยื้อย่อมกระทบต่อการลงทุนของต่างชาติ
เวลา,time,wela,weː laː,การวิจารณ์ไม่ว่าจะใช้ในเวลาใดก็ตามต้องมีลักษณะสร้างสรรค์มิใช่ทำลาย
ยัง,still,yang,jaŋ,สุนัขเป็นเพื่อนที่ซื่อสัตย์ใกล้ชิดกับคนแถมยังมีประโยชน์เฝ้าบ้านได้เวลาไม่มีใครอยู่
ทำ,do,tham,tʰam,ประชาชนทุกคนมีหน้าที่ทำตามกฎหมาย
เห็น,see,hen,hěn,เขาได้เห็นชีวิตมาทุกแง่ทุกมุมแล้ว
เข้า,enter,khao,kʰâw,รถประจำทางจะเข้ามาที่สถานีตรงเวลาทุกวัน
ชั้น,layer; level; grade,chan,tɕʰán,ศาลชั้นต้นได้พิจารณาคดีแล้วเมื่อเช้านี้
ซึ่ง,which,sueng,sɯ̂ŋ,เราต้องการหนังสือซึ่งใช้อ้างอิงได้
ลง,down,long,loŋ,ในเช้าวันรุ่งขึ้นก่อนที่เขาจะกลับบ้าน หมอกลงหนาทึบจนมองไม่เห็นแม่น้ำ
ถ้า,if,tha,tʰâː,ถ้าฉันเป็นมหาเศรษฐี ฉันจะไปเที่ยวรอบโลกทุกปี
ตัว,body,tua,tuːa,ตัวจะไปเที่ยวกับพวกเราไหม
ใช้,use,chai,tɕʰáj,ยานยนต์ทุกชนิดจำเป็นต้องใช้เชื้อเพลิง
ตาม,follow; acccording,tam,taːm,ตำรวจตามคนร้ายไปยังป่าทึบ
บาง,some; thin,bang,baːŋ,แต่ก่อนต้องพายเรือจากบางหนึ่งไปบางหนึ่ง ใช้เวลาเป็นวันเลยทีเดียว
อีก,more,ik,ʔìːk,คุณควรถอยฉากออกไปตั้งหลัก คิดหาแนวทางใหม่ ก่อนจะกลับมาอีกครั้งพร้อมกับความสำเร็จ
ทำให้,make,thamhai,tʰam hâj,การตากฝนทำให้เป็นหวัดได้
ทาง,way; direction,thang,tʰaːŋ,หากเขายังเกียจคร้านอยู่อย่างนี้ เขาไม่มีทางจะสำเร็จได้
แบบ,model; style,baep,bɛ̀ːp,การคลอดแบบโบราณนั้นทำกันที่บ้าน ทำในห้องต่อหน้าสามี
ออก,exit,ok,ʔɔ̀ːk,รัฐบาลออกบัตรประชาชนให้ประชาชนทุกคน
ที่สุด,most,thisut,tʰîː sùt,รัฐมนตรีคลังเป็นผู้ทรงอิทธิพลมากที่สุดในคณะรัฐมนตรีชุดนี้
เรา,we; us,rao,raw,เราคิดว่าอาจารย์ไม่น่าจะว่างนะ
โดย,by,doi,doːj,เขาทำไป โดยรู้เท่าไม่ถึงการณ์
ดี,good,di,diː,คนป่วยมีสุขภาพดีขึ้นหลังจากได้พักเป็นระยะเวลานาน
เพื่อ,for,phuea,pʰɯ̂ːa,ผู้ควบคุมจำเป็นต้องปิดเครือข่าย และสถานีงานทั้งหมด เพื่อทำให้ระบบกลับคืนสู่สภาพปกติ
จึง,therefore,chueng,tɕɯŋ,เมื่อทำงานเสร็จ พนักงานจึงกลับบ้าน
ต่อ,to; connector; per,to,tɔ̀ː,พ่อกับลูกช่วยกันต่อกรงสุนัขใหม่ให้ใหญ่ขึ้น
ครั้ง,time,khrang,kʰráŋ,เรามาดูภาพยนต์ที่นี่เป็นครั้งที่ 5 แล้ว
เขา,he,khao,kʰǎw,ที่บ้านสวนพ่อจะเลี้ยงนกเขาไว้ดูเล่นแก้เหงา
หลาย,many,lai,lǎːj,ในปีนี้จะมีการประชุมระหว่างประเทศที่กรุงเทพฯ หลายครั้ง
ผู้,person,phu,pʰûː,เขาจะไม่ปล่อยให้ผู้กระทำผิดลอยนวลไปได้แน่นอน
ทุก,each,thuk,tʰúk,ประชาชนทุกคนควรไปเลือกตั้ง
น้อย,little,noi,nɔ́ːj,เขาหยิบเนื้ออันน้อยส่งให้เด็กชายที่ยืนอยู่ข้างโต๊ะ
คือ,is,khue,kʰɯː,ผู้จัดการฝ่ายการตลาดคือผู้ที่ได้รับคัดเลือกให้เป็นพนักงานดีเด่น
หาก,if,hak,hàːk,แม้ประเทศจะมีถนนดีๆ หากคนใช้ไม่มีคุณภาพ บ้านเมืองจะพัฒนาได้ยาก
เกิด,born,koet,kɤ̀ːt,แผ่นดิสก์ยังคงหมุนอยู่ด้วยแรงเฉื่อยซึ่งก็ยังเร็วพอที่จะเกิดแรงยกตัวสำหรับหัวอ่าน
ปี,year,pi,piː,เครือข่ายคอมพิวเตอร์เป็นสิ่งใหม่เริ่มมีใช้ครั้งแรกในปี 1969
งาน,work; festival,ngan,ŋaːn,เย็นนี้จะมีงานแต่งงานที่โรงแรมรีเจนท์ อย่าพยายามไปแถวนั้นเด็ดขาดรถติดแน่นอน
ใหม่,new,mai,màj,บ้านนี้เพิ่งทาสีใหม่ๆ
ตั้ง,set,tang,tâŋ,นักกีฬาที่ได้เหรียญทองจากซีเกมส์จะได้รับเงินรางวัลตั้งหนึ่งแสนบาท
ส่วน,section,suan,sùːan,อาหารจานแค่นี้ ใส่น้ำตาลแค่เศษหนึ่งส่วนสี่ช้อนก็พอ
รับ,receive,rap,ráp,เขารับองค์พระจากหลวงพี่ที่ปลุกเสกแล้วอย่างระมัดระวัง
แรก,first,raek,rɛ̂ːk,นักท่องเที่ยวบางคนเพิ่งเคยมาเที่ยวภูเก็ตครั้งแรก จึงรู้สึกตื่นเต้นกับความสวยงามของทัศนียภาพ
พระ,monk,phra,pʰráʔ,เมื่อเราไปวัด เรามักจะพบว่าในโบสถ์จะมีพระพุทธรูปขนาดใหญ่เป็นพระประทาน 1 องค์
ทำงาน,work,thamngan,tʰam ŋaːn,เขาทำงานรักษาคนที่มีอาการผิดปกติทางจิต
วัน,day,wan,wan,ผู้นำฝ่ายค้านคาดว่าแต่ละวันแต่นี้ไปสถานการณ์จะรุนแรงกว่านี้
ช่วย,help,chuai,tɕʰûaj,หากทุกคนในหมู่บ้านช่วยกัน ก็คงจะสำเร็จในไม่ช้านี้
เพียง,only,phiang,pʰiːaŋ,ร่างกายต้องการสังกะสีจากอาหารเพียงวันละ 10-15 มิลลิกรัม
อาจ,may,at,ʔàːt,พิษในน้ำมันละหุ่งนั้นอาจแยกออกได้
ขนาด,size,khanat,kʰà nàːt,การออกแบบวงจรไฟฟ้าขนาดจิ๋ว ช่วยประหยัดต้นทุนได้มาก
อื่น,another,uen,ʔɯ̀ːn,ตำรวจให้ความเห็นว่าสาเหตุของคดีนี้น่าจะเป็นการชิงทรัพย์มากกว่าประเด็นอื่น
นัก,very; extremely,nak,nák,ช่วงฤดูหนาวที่เชียงใหม่จะมีอากาศหนาวนัก
เริ่ม,begin,roem,rɤ̂ːm,โครงการวิจัยของสำนักงานวิจัยเริ่มใหม่ในปี 2544
เด็ก,child,dek,dèk,เขาบอกว่าลูกชายเป็นเด็กดี ไม่รู้เหมือนกันว่ามาเกี่ยวข้องกับคดีนี้ได้อย่างไร
ชีวิต,life,chiwit,tɕʰiː wít,ชีวิตของคนกรุงเทพฯ ต้องดิ้นรนต่อสู้กับมลพิษที่เพิ่มปริมาณขึ้นทุกวัน
สูง,high,sung,sǔːŋ,นักวิจัยพบว่า บุคคลที่มีความวิตกกังวลสูง จะมีความคิดริเริ่มสร้างสรรค์ต่ำ
ก่อน,before,kon,kɔ̀ːn,รูปนี้เขาไม่เคยเห็นมาก่อนเลย
เปลี่ยน,change,plian,plìːan,ร่างกายจะเปลี่ยนโปรตีนส่วนเกินให้เป็นไขมัน
ต่าง,different,tang,tàːŋ,เขาบรรทุกของลงต่างบนหลังวัว เตรียมออกเดินทาง
ต่อไป,next,topai,tɔ̀ː paj,หากบุคคลได้รับการตองสนองความรักแล้วสิ่งที่เขาต้องการต่อไปก็คือการได้รับการยกย่องมีชื่อเสียง
ดู,look at; examine,du,duː,กลับมาบ้านคราวนี้ ลูกดูมีน้ำเนื้อมีหนังมากขึ้น
แห่ง,location; place; spot,haeng,hɛ̀ŋ,พื้นที่ป่าแห่งนี้มีวัตถุประสงค์มุ่งที่จะจัดทำให้เป็นที่อยู่อาศัยของสัตว์ป่าโดยตรง
ใหญ่,large,yai,jàj,บ้านใหม่ของเขาใหญ่มาก ใช้งบในการสร้างเกือบสิบล้าน
หา,find,ha,hǎː,หนุ่มน้อยหาเศษสตางค์ในกระเป๋าแล้วหยิบยื่นให้ตาแป๊ะ
สำหรับ,for,samrap,sǎm ràp,คณะครุศาสตร์มีห้องปฏิบัติการทางจิตวิทยาที่เหมาะมากสำหรับการสอนวิชาจิตวิทยา
ผม,I (mostly male); hair (on head),phom,pʰǒm,ผมกระหายน้ำมาก
กลาง,middle; center,klang,klaːŋ,ฉันคิดว่าจะไปศึกษาต่อในช่วงกลางปีหน้า
ก็ได้,it is alright to,kotai,kɔ̂ː dâj,ถ้าเธอจะตามฉันไปก็ได้
ด้าน,side,dan,dâːn,สามเหลี่ยมด้านเท่ามีทุกด้านยาวเท่ากัน
คุณ,you,khun,kʰun,เขาลืมสิ้นถึงคุณของข้าวแดงแกงร้อนจากชายคาบ้านที่เขาเคยอาศัยอยู่
นอก,out,nok,nɔ̂ːk,พ่ออยู่นอกบ้านต้องตะโกนเรียกถึงจะได้ยิน
เดียว,single; one,diao,diːaw,มีนักบินเพียงคนเดียวที่รอดชีวิต
เมือง,city,mueang,mɯːaŋ,ทิวทัศน์ของเมืองนี้สวยงามมีมนต์ขลัง น่าหลงใหลมากทีเดียว
สิ่ง,thing,sing,sìŋ,ในภาคใต้นี้เงินมีส่วนสำคัญเพราะข้าวปลาอาหารเป็นสิ่งที่ต้องซื้อหาทั้งสิ้นไม่สามารถปลูกได้พอกินเช่นภาคอื่นๆ
ทรง,"style, hairdo",song,soŋ,เฮลิคอปเตอร์ทรงตัวอยู่ในอากาศได้โดยอาศัยแรงยกจากปีกทั้งสองข้าง
ตัด,cut,tat,tàt,เธอตัดเสื้อผ้าชุดนี้ด้วยฝีมือเธอเอง
นำ,lead,nam,nam,เราต้องนำคำนี้ไปวางไว้หน้าประโยคเพื่อต้องการเน้นความ
ผิด,wrong,phit,pʰìt,หากผมทำผิดจริงผมก็จะยอมให้บริษัทตัดเงินเดือน
เสีย,waste,sia,sǐːa,กินเสีย จะได้รีบไป
เอา,take; want,ao,ʔaw,ถึงตอนนี้เราต้องยักย้ายถ่ายเทเพื่อเอาตัวรอดแล้ว
จน,until,chon,tɕon,กายกับจิตมีความสัมพันธ์กันอย่างใกล้ชิดจนไม่อาจแยกออกเป็นอิสระจากกันได้
คิด,think,khit,kʰít,นักภูมิศาสตร์จากบริษัทสำรวจทางอากาศคิดว่าการใช้คอมพิวเตอร์จะช่วยให้งานนี้สำเร็จได้เร็วขึ้นและประหยัด
เลย,therefore; …at all,loei,lɤːj,รถเมล์เลยป้ายไปตั้งไกลจนผู้โดยสารต้องเดินกลับมาเอง
เท่านั้น,only,thaonan,tʰâw nán,มีเพียงเขาเท่านั้นที่ใส่ชุดสุภาพมางานนี้
นับ,count,nap,náp,สุเทพไม่นับว่าสุชาติเป็นญาติเพราะเขาทำตัวไม่ดี
ผ่าน,pass,phan,pʰàːn,กระเป๋าใบนี้ผ่านมือมาหลายคนแล้ว
ตอน,when; during,ton,tɔːn,หนังสือเล่มนี้แบ่งออกเป็น 2 ตอน ตอนแรกเป็นภาษาไทย ตอนที่สองเป็นภาษาอังกฤษ
ตั้งแต่,since,tangtae,tâŋ tɛ̀ː,ครอบครัวของเขาไปอยู่ต่างประเทศตั้งแต่เขาอายุ 7 ปี
เรียก,call,riak,rîːak,ผมเรียกจนแสบคอ เธอก็ยังไม่หันมา
สามารถ,be able,samat,sǎː mâːt,เขาสามารถรักษาแชมป์ไว้ได้ 4 สมัย เป็นประวัติการณ์
ชื่อ,name,chue,tɕʰɯ̂ː,ชื่อของหล่อนแปลว่าดอกไม้
เอง,only; alone; just,eng,ʔeːŋ,พ่อแม่มักจะไม่ค่อยปล่อยให้ลูกๆ อยู่บ้านกันเองตามลำพัง
ประเทศ,country,prathet,pràʔ tʰêːt,เธอยอมเดินทางกลับประเทศเพื่อสู้คดีต่างๆ
ภาพ,image,phap,pʰâːp,ความคิดคือความสามารถของมนุษย์ที่จะวาดภาพถึงอะไรๆ ได้ โดยไม่ต้องมีวัตถุจริงๆ มาปรากฏ
นอกจาก,in addition to,nokchak,nɔ̂ːk tɕàːk,วินัยคงจะไม่สูงกว่านี้อีกแล้วนอกจากจะมีปาฏิหาริย์
อ่าน,read,an,ʔàːn,ในอนาคต เราคงจะมีโอกาสได้เห็นหุ่นยนต์ที่พูด อ่าน เขียนและคิด ได้เฉกเช่นมนุษย์
เคย,ever,khoei,kʰɤːj,เขาเคยไปมาแล้วทุกแห่งหนในประเทศไทย
อะไร,what,arai,ʔàʔ raj,ปัจจุบันนี้ในกระทรวงศึกษาธิการ  อะไรก็สามารถเกิดขึ้นได้ทั้งนั้น
กลับ,return,klap,klàp,เมื่องานเลี้ยงเลิกต่างก็แยกย้ายกันกลับบ้าน
ขอ,ask,kho,kʰɔ̌ː,เขาค่อยๆ เคลื่อนตัวลงสู่ผิวน้ำพร้อมกับมือซ้ายถือขอแน่น
โลก,world,lok,lôːk,ชาวกรีกโบราณเชื่อว่าโลกที่เราอยู่ประกอบด้วยธาตุทั้ง 4 คือ ดิน น้ำ ลม ไฟ
เดิม,original; before,doem,dɤːm,แต่เดิมเราผลิตสินค้าได้น้อยมาก เพราะยังไม่มีเทคโนโลยีรองรับเพียงพอ
ได้รับ,receive,dairap,dâj ráp,เขาได้รับเงินรางวัลจำนวนมากมาย
น้ำ,water,nam,náːm,พวกเราก่อกองไฟอยู่ตรงริมน้ำ แล้วกางเต็นท์ห่างออกไปประมาณ 2 เมตร
อย่างไร,how,yangrai,jàːŋ raj,ความงามความดีมนุษย์ สร้างขึ้นมาได้อย่างไร
ยิ่ง,more,ying,jîŋ,การถ่ายทอดอารมณ์ให้กับภาพนั้นเป็นสิ่งสำคัญยิ่ง
ฝ่าย,party; side,fai,fàːj,การทำให้เครื่องใหม่ครอบคลุมรุ่นเก่านั้น มีประโยชน์ด้วยกันทุกฝ่าย
บ้าน,home,ban,bâːn,ประชากรไทยที่มีคอมพิวเตอร์ใช้ในบ้านเพิ่มจำนวนมากขึ้นทุกๆ วัน
คำ,word,kham,kʰam,เสียงของแต่ละคนนั้นพูดแต่ละครั้งจะไม่เหมือนกัน แม้จะพูดคำเดียวกันหรือประโยคเดียวกันก็ตาม
พบ,meet; find,phop,pʰóp,นักเรียนใหม่พบอาจารย์ที่ปรึกษาในวันเปิดภาคเรียน
เข้าใจ,understand,khaochai,kʰâw tɕaj,ถ้าเธอเข้าใจเธอก็สามารถทำข้อสอบได้ ไม่ว่าจะออกมาในรูปแบบไหน
อัน,piece (classifier),an,ʔan,ปัญหานี้เป็นปัญหาที่สำคัญที่สุดอันหนึ่งในการออกแบบโปรแกรม
ส่ง,send,song,sòŋ,สถาปนิกกลุ่มนี้ส่งแบบแปลนถึงกันและกันผ่านทางสายโทรศัพท์
ที่อยู่,address,thiyu,tʰîː jùː,ผู้ที่จะรับ-ส่งจดหมายอิเล็กทรอนิกส์ได้จะต้องมีที่อยู่หรือที่เรียกว่า e-mail address เสียก่อน
มัน,it,man,man,บ้านฉันที่อิสานปลูกมันไว้เป็นแถวๆ เอาหัวมันมาปรุงอาหารได้
ถือ,hold,thue,tʰɯ̌ː,ทั้งๆ ที่หล่อนถือของพะรุงพะรัง แต่ก็ไม่มีใครมีน้ำใจที่จะช่วยหล่อน
แม้,even,mae,mɛ́ː,แม้เรื่องของป่าไม้ที่ดินจะไม่ใช่ปัญหาใหญ่แต่ก็มีการลุกลามในหลายพื้นที่
ควร,should,khuan,kʰuːan,นักศึกษาควรใช้เวลาว่างจากการเรียนให้เป็นประโยชน์
กำลัง,power,kamlang,kam laŋ,ลำต้นไม้ต้นหนึ่งมีกำลังสิบอ้อมแขน
ปัญหา,problem,panha,pan hǎː,เมื่อดิสเกตต์มีปัญหาจะมีใครที่ช่วยแก้ปัญหาให้เราได้บ้าง
ยก,lift; raise,yok,jók,เมื่อต้องการแสดงความคิดเห็นทุกคนต้องยกมือ
น่า,ought to,na,nâː,พิธีกรน่าพูดให้เกียรติแขกรับเชิญมากกว่านี้
ต้น,beginning,ton,tôn,ต้นไม้ต้นใดที่มีต้นแข็งแรงก็สามารถจะนำมาต่อกิ่งได้
รู้,know,ru,rúː,เดี๋ยวนี้เรารู้แล้วว่าความเชื่อเช่นนั้นไร้สาระ
เหมือน,as; like,muean,mɯ̌ːan,อุตสาหกรรมของสหรัฐอเมริกากำลังถูกบีบจากต่างชาติ เหมือนลูกนกในกำมือ
เท่า,as much as; times (size),thao,tʰâw,อำนาจของโลกคอมมิวนิสต์ก็เกือบจะเท่ากับอำนาจของโลกฝ่ายตะวันตก
บน,on,bon,bon,นักเรียนมักมาบนพระพรหมเอราวัณไว้ว่าขอให้สอบเข้ามหาวิทยาลัยได้
พยายาม,attempt,phayayam,pʰá jaː jaːm,เด็กอาจแสดงพฤติกรรมหลายอย่างเพื่อพยายามเรียกร้องความเอาใจใส่และความรักจากพ่อแม่
จริง,real,ching,tɕiŋ,ภาพยนตร์เรื่องนี้วิเศษจริง แต่มันทำให้ชาวบ้านเข้าใจผิดคิดว่าคอมพิวเตอร์ทำได้ทุกสิ่งทุกอย่าง
สร้าง,create,sang,sâːŋ,ฮาร์ดดิสก์ดิสก์ประเภทนี้สร้างความปั่นป่วนให้แก่วงการคอมพิวเตอร์เป็นอย่างมาก
ร่วม,join,ruam,rûːam,กองทัพอากาศสหรัฐได้ทำโครงการร่วมกับบริษัทยักษ์ใหญ่ราว 20 แห่ง
บอก,tell,bok,bɔ̀ːk,คุณยายบอกอาการให้หมอฟังอย่างละเอียด
ตลอด,throughout; always,talot,tà lɔ̀ːt,คนที่นั่งทำงานอยู่ตลอดจะมีอาการของการปวดเมื่อยคอ หลัง และแขน
เช่น,like,chen,tɕʰên,เขาทำตัวเช่นพระเอก
หนังสือ,book,nangsue,nǎŋ sɯ̌ː,โรงเรียนมีหนังสือไปถึงผู้ปกครองนักเรียน เพื่อให้มาร่วมประชุม
ละ,each,la,láʔ,ธนาคารได้ออกบัตรเอทีเอ็มให้กับสามีภรรยาคู่นี้คนละใบ
ท่าน,you (polite),than,tʰân,ก่อนที่ท่านจะเผชิญหน้ากับเหตุการณ์อันน่าสะพรึงกลัว ท่านจำเป็นต้องติดอาวุธให้ตัวเองเสียก่อน
ไม่ว่า,regardless of; no matter what,maiwa,mâj wâː,ไม่ว่าหล่อนจะจ้างวานอย่างไร เขาก็ไม่ยอมกระดิกกระเดี้ย
เก็บ,store; put away,kep,kèp,เมื่อหยิบหนังสือมาจากชั้น ควรนำไปเก็บไว้ที่ชั้นตามเดิม เพื่อความเป็นระเบียบ
ผล,results,phon,pʰǒn,สถานการณ์ช่วงนี้เอื้อผลต่อเราไม่น้อยเลย
บ้าง,some,bang,bâːŋ,นกมักจะมีสีขนแตกต่างกันออกไปตามชนิด บ้างก็งดงามสวยบาดตา บ้างก็มีสีมัวๆ เพื่อให้กลมกลืนกับธรรมชาติ
ใคร,who,khrai,kʰraj,ออกไปดูซิว่าใครมาหน้าบ้าน
แก่,to; old,kae,kɛ̀ː,ประธานาธิบดีถูกบังคับให้มอบอำนาจในการปกครองแก่คณะทหาร
กลายเป็น,become,klaipen,klaːj pen,น้ำกลายเป็นน้ำแข็งที่ศูนย์องศาเซลเซียส
หลัง,after; back,lang,lǎŋ,มีคนพูดซุบซิบกันอยู่หลังหน้าต่าง
จัด,ajust; arrange; fix,chat,tɕàt,คุณได้มาทำงานที่นี่จัดได้ว่าเป็นคนโชคดีมาก
ใช่,correct,chai,tɕʰâj,พันธกิจของนักเขียนมีมากมาย แม้ไม่ใช่สิ่งยิ่งใหญ่ แต่จะส่งผลที่ยิ่งใหญ่
เลือก,select,lueak,lɯ̂ːak,การเลือกตั้งแบบแบ่งเขตเรียงเบอร์ที่เปิดโอกาสให้ผู้เลือกตั้งสามารถเลือกผู้สมัครเป็นรายบุคคลจากพรรคต่างๆ กัน
เธอ,her,thoe,tʰɤː,ครูบอกให้เธอทำการบ้านมาส่ง ทำไมเธอจึงไม่ทำ
ลูก,child,luk,lûːk,ฝรั่ง 1 ก.ก. จะมีประมาณ 3 ลูก
คง,probably,khong,kʰoŋ,ในฐานะของผู้บริโภคเขาคงอยากได้ของดีที่สุดในราคาที่ถูกที่สุดล่ะมั้ง
ที่มา,origin; source; cause,thima,tʰîː maː,ศาสนาธรรมเป็นแห่งที่มาสำคัญของสัจธรรม
ตัวเอง,itself,tua-eng,tuːa ʔeːŋ,เขาไม่เชื่อหูว่าตัวเองถูกรางวัลที่ 1
ทหาร,soldier,thahan,tʰá hǎːn,ชาวอังกฤษกำลังถกเถียงกันว่า ทหารควรเป็นอธิบดีตำรวจได้หรือไม่
ต้องการ,want,tongkan,tɔ̂ŋ kaːn,การที่ผู้โดยสารยอมจ่ายเงินค่าโดยสารเพิ่มขึ้นเป็นเพราะพวกเขาต้องการความสะดวกสบายในการเดินทาง
แสดง,show,sadang,sà dɛːŋ,ความหิวมีส่วนให้มนุษย์แสดงพฤติกรรมได้กว้างขวางมาก
ทั้งหมด,total,thangmot,tʰáŋ mòt,งานทั้งหมดที่ทำจะต้องส่งภายในวันพรุ่งนี้
ง่าย,simple; easy,ngai,ŋâːj,ผมจะกล่าวถึงพี ซี ยู สมมติขนาด 8 บิต เพื่อให้เข้าใจง่าย
ระหว่าง,between,rawang,ráʔ wàːŋ,วิชาจิตวิทยาศึกษาเกี่ยวกับความสัมพันธ์ระหว่างบุคคลกับบุคคล และบุคคลกับโครงสร้างของสังคม
พูด,say,phut,pʰûːt,ฉันพูดกับเขาไม่รู้กี่ครั้งต่อกี่ครั้งแล้ว เขาก็ไม่ฟัง
ใจ,mind,chai,tɕaj,ใจของเขาเต้นแรงหลังจากได้ยินข่าวร้ายจากทางบ้าน
อาหาร,food,ahan,ʔaː hǎːn,เพื่อนในวงสนทนาเริ่มลดอาหารบางอย่างลง เช่น เนื้อสัตว์ และอาหารกระป๋อง
ใด,any,dai,daj,ห้ามแตะต้องสิ่งของใดในห้องนี้
กลุ่ม,group,klum,klùm,กลุ่มแต่ละกลุ่มจะมีพฤติกรรมร่วมในแบบฉบับเฉพาะของตนเอง
ช่วง,phase,chuang,tɕʰûːaŋ,คุณจะเข้ามาบริษัทช่วงเช้าหรือบ่าย
พอ,enough,pho,pʰɔː,เม็ดเงินคงคลังยังมีไม่พอที่จะใช้หนี้ระยะสั้น
